検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,記録,接続元IPの記録,正常系,自動テスト(手動不可),—(手動検証は不要),ログイン時の接続元 IP がトークンに記録されることを確認する(画面に出ない内部項目),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),セッション管理,アイドルタイムアウト,設定伝播,IdleMinutesの配信,正常系,自動テスト(手動不可),—(手動検証は不要),管理者が決めた無操作タイムアウト時間が ログイン時にクライアントへ伝わることを確認する(内部受け渡し),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),セッション管理,アイドルタイムアウト,設定伝播,不正設定時の既定値,正常系,自動テスト(手動不可),—(手動検証は不要),タイムアウト設定が壊れていても既定30分にフォールバックすることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),セッション管理,アイドルタイムアウト,自動ログアウト,無操作で自動ログアウト,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照)。検証時間を短くするため 管理>システム設定で SessionIdleMinutes を 1 にしておくと早い,一定時間操作しないと自動でログアウトされることを確認する,①ログイン後 アプリを操作せず放置する(設定した分数だけ待つ),時間経過後 自動でログアウトされログイン画面に戻る,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),セッション管理,アイドルタイムアウト,タイマーリセット,操作で延長される,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),操作を続けている間は自動ログアウトされないことを確認する,①ログイン後 タイムアウトより短い間隔でフォルダ移動などの操作を続ける,操作している限りログアウトされない,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),セッション管理,ログアウト,資格情報クリア,ログアウトボタン,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),ログアウトすると 自動ログイン用に保存したトークンも消えることを確認する,"①画面右上のログアウトボタンを押す
②確認ダイアログで OK
③Windows の資格情報マネージャーで Watashi/AutoLogin を確認",ログイン画面に戻り 資格情報マネージャーから Watashi のトークンが消えている,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,一覧表示,リモート,フォルダ一覧の表示,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,リモート(CIFS)のフォルダの中身が一覧表示されることを確認する,①メイン画面でリモート側(右)のフォルダをダブルクリックして開く,そのフォルダ内のファイル・サブフォルダが一覧表示される,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,一覧表示,ページング,200件を超えるフォルダ,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。200件超のファイルがあるフォルダを用意,サーバー内部の200件単位ページングをクライアントが自動取得し 全件を見られることを確認する,"①200件以上あるフォルダをリモート側で開く
②一覧を末尾までスクロールする",201件目以降を含む全件が1つの一覧に表示される,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,一覧表示,ローカル,大量ファイルでも固まらない,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照)。大量のファイルがあるローカルフォルダを用意,ローカル側で大量ファイルを開いても画面が固まらないことを確認する,①ローカル側(左)で 数千ファイルあるフォルダを開く,一覧が表示され 操作中も画面が固まらない,,,,実機/性能
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,一覧表示,ルート制限,許可ルートで上に行けない,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,自分に許可された範囲の最上位より上へは移動できない(.. が無効)ことを確認する,"①リモート側で 自分の許可された最上位フォルダを開く
②親フォルダ(..)へ移動を試みる",.. がグレーで押せず 許可範囲の外へは出られない,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,一覧表示,権限なし,権限のない共有,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。権限を与えていない共有があること,権限のない場所は見られないことを確認する,①リモートの場所(ロケーション)選択で 権限のない共有を選ぶ または直接パス入力でアクセスを試みる,アクセスできず エラーまたは空表示になる,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,ナビゲーション,パス入力,パス欄にEnterで移動,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,パスを直接入力して移動できることを確認する,"①リモート側のパス入力欄に 移動したいフォルダのパスを入力
②Enter キーを押す",入力したフォルダへ移動する,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,ナビゲーション,キー操作,Backspace/Alt矢印/F5,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,キーボードのショートカットでフォルダ移動・更新ができることを確認する,"①一覧上で Backspace を押す(親へ)
②Alt+← で戻る Alt+→ で進む Alt+↑ で上へ
③F5 を押す",Backspace=親へ Alt矢印=戻る/進む/上へ F5=両ペイン更新 が効く,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,ナビゲーション,ダブルクリック,フォルダ展開,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,ダブルクリックでフォルダが開き ファイルでは何も起きないことを確認する,"①フォルダをダブルクリック
②ファイルをダブルクリック",フォルダは開く。ファイルは何も起きない(誤操作しない),,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,ソート,既定,フォルダ優先+名前昇順,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照)。フォルダとファイルが混在するローカルフォルダで確認すると簡単,既定でフォルダが先に来て その後 名前順に並ぶことを確認する,"①ローカル側でフォルダとファイルが混在する場所を開く
②並び順を見る",フォルダが上にまとまり その後 名前の昇順で並ぶ,○,,,自動テストでも担保 FileEntrySortTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,ソート,切替,名前/日付/サイズで昇降,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),見出しをクリックして 名前・日付・サイズで並べ替えられ クリックで昇順/降順が切り替わることを確認する,"①一覧の「名前」見出しをクリック(昇順)
②もう一度クリック(降順)
③「日付」「サイズ」見出しでも同様に試す",クリックするたび昇順↔降順が切り替わり 各列で正しく並ぶ,○,,,自動テストでも担保 FileEntrySortTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,絞り込み,部分一致,大小無視の部分一致,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),絞り込み欄に入力すると 名前に含むものだけ表示され 大文字小文字は無視されることを確認する,"①ファイルが複数ある場所を開く
②絞り込み欄に一部の文字(例: report)を入力",名前にその文字を含むものだけ残り 大文字小文字は区別しない,○,,,自動テストでも担保 FileEntryFilterTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,絞り込み,全件表示,絞り込み欄を空にする,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),絞り込み欄を空にすると全件表示に戻ることを確認する,"①絞り込み欄に文字を入れて件数を減らす
②絞り込み欄を空にする",全件が再び表示される,○,,,自動テストでも担保 FileEntryFilterTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,絞り込み,不一致,一致なしの表示,異常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照),一致しない語句では0件になり 親切な案内が出ることを確認する,①絞り込み欄に どれにも一致しない文字列を入力,0件になり 一致なしのヒントが表示される,,,,実機/UI(ロジックは自動テスト済)
− 自動テスト(手動不要),—(自動テストで担保),ファイル操作,ソート,親除外,..は並べ替え対象外,正常系,自動テスト(手動不可),—(手動検証は不要),親フォルダ(..)は並べ替えの対象から除かれ 常に先頭に表示されることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 FileEntrySortTests
− 自動テスト(手動不要),—(自動テストで担保),ファイル操作,ソート,境界,サイズnullは最小扱い,正常系,自動テスト(手動不可),—(手動検証は不要),サイズ不明(null)の項目はサイズ最小として並ぶことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 FileEntrySortTests
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,アップロード,基本,ローカル→リモート,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。書込(WRITE)権限のある場所,ローカルのファイルをリモートへ送れ 進捗が見えることを確認する,"①ローカル側で送りたいファイルを選ぶ
②リモート側で保存先フォルダを開く
③『UP(アップロード)』ボタンを押す",転送が始まり 下部に進捗バーと%が出て 完了後リモートにファイルが現れる,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,アップロード,大容量,数GBファイル,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。2GB を超えるファイルを用意,非常に大きいファイルでもメモリ不足にならず送れることを確認する,①2GB 超のファイルを選びアップロードする,途中で落ちず最後まで転送が完了する,,,,実機/要CIFS/性能
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,アップロード,D&D,ドラッグ&ドロップ,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。deployment.json の enableDragDrop=true,ドラッグ＆ドロップでアップロードできることを確認する,"①ローカル側のファイルを掴む
②リモート側へドラッグして放す",放したファイルのアップロードが始まる,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,アップロード,権限,書込権限なし,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。読取のみ(WRITE なし)の場所,書込権限がない場所へはアップロードできないことを確認する,"①読取のみの場所をリモートで開く
②アップロードを試みる",拒否され(403) ファイルは作られない,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,ダウンロード,基本,リモート→ローカル,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,リモートのファイルをローカルへ保存でき 途中ファイルが残らない仕組みを確認する,"①リモート側でダウンロードするファイルを選ぶ
②『DL(ダウンロード)』ボタンを押す
③保存ダイアログで保存先を指定",保存中は .part 一時ファイルで進み 完了時に正式名へ変わる。指定先にファイルが保存される,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,ダウンロード,中断,途中で失敗,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。転送を途中で止められる環境(回線切断やサーバ停止),途中で失敗しても 中途半端なファイルが残らないことを確認する,"①大きめファイルのダウンロードを開始
②転送中に回線を切る/サーバを止める",ダウンロードは失敗するが 保存先に不完全なファイルや .part の残骸が残らない,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,ダウンロード,権限,読取権限なし,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。権限のないファイル,読取権限がないファイルはダウンロードできないことを確認する,①権限のないファイルを選びダウンロードを試みる,拒否される(403),,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,転送表示,速度/ETA,転送中の速度と残り時間,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。ある程度大きいファイル,転送中に速度と残り時間が表示されることを確認する,"①大きめファイルをアップロードまたはダウンロード
②下部のステータスバーを見る",進捗% ファイル名 速度(KB/s など) 残り時間が表示される,○,,,計算は自動テストでも担保 TransferStatsTests
− 自動テスト(手動不要),—(自動テストで担保),ファイル操作,転送表示,境界,速度0や経過0の扱い,異常系,自動テスト(手動不可),—(手動検証は不要),経過時間0や速度0でも エラーにならず『-』表示になることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 TransferStatsTests
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,削除,基本,ファイル削除,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。削除(DELETE)権限のある場所と捨ててよいファイル,確認ダイアログを経てファイルを削除できることを確認する,"①削除したいファイルを選ぶ
②『削除』ボタンを押す
③確認ダイアログで「はい」を押す",確認後にファイルが削除され 一覧から消える,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,削除,キー操作,Deleteキーで削除,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。削除権限のある場所,Delete キーでも(確認付きで)削除できることを確認する,"①ファイルを選び キーボードの Delete を押す
②確認ダイアログで「はい」",確認後に削除される,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,削除,ルート保護,許可ルート自体の削除,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,自分の許可された最上位フォルダそのものは(誤削除防止で)削除できないことを確認する,"①リモートで自分の許可最上位フォルダを表示
②そのフォルダ自体の削除を試みる",拒否される(403),○,,,判定は自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,削除,権限,削除権限なし,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。読取のみの場所,削除権限がない場所では削除できないことを確認する,①読取のみの場所でファイルの削除を試みる,拒否される(403),,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,リネーム,基本,同じフォルダ内で改名,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。リネーム(RENAME)権限のある場所,同じフォルダ内でファイル名を変更できることを確認する,"①ファイルを選ぶ
②F2 キー(または『RN』ボタン)で名前を編集
③新しい名前を入力して Enter",同じフォルダ内で名前が変わる,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,リネーム,MOVE防止,別フォルダへ動かす改名,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,リネームを使って別フォルダへ移動する裏技ができないことを確認する,①リネーム時に 別フォルダを示すパス(例: ../other/name)を入力してみる,「リネームでは親ディレクトリを変更できません」で拒否される,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),ファイル操作,リネーム,ルート保護,許可ルート自体の改名,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,許可された最上位フォルダそのものは改名できないことを確認する,①自分の許可最上位フォルダ自体のリネームを試みる,拒否される(403),○,,,判定は自動テストでも担保(IsPermissionRoot)
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,フォルダ作成,基本,新規フォルダ作成,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。書込権限のある場所,新しいフォルダを作れることを確認する,"①作成したい場所をリモートで開く
②『新規フォルダ』ボタンを押す
③名前を入力して OK",新しいフォルダが作成される,,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ファイル操作,フォルダ作成,権限,書込権限なし,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。読取のみの場所,書込権限がない場所ではフォルダを作れないことを確認する,①読取のみの場所でフォルダ作成を試みる,拒否される(403),,,,実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,範囲内,許可パス内の読取,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。検証ユーザーに『読取』権限のある共有/フォルダがあること,許可された範囲内のファイルは読めることを確認する,"①検証ユーザーでログイン
②許可されたフォルダを開き ファイルをダウンロード(読取)する",ファイルが読める(ダウンロードできる),○,,,自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,操作種別,読取のみでは書込/削除不可,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。検証ユーザーに『読取のみ』テンプレートで権限を付与しておくこと,テンプレートが読取のみなら 書込や削除ができないことを確認する,"①読取のみ権限のユーザーでログイン
②そのフォルダへアップロード(書込)を試みる
③ファイルの削除も試みる",アップロードも削除も拒否される(403),○,,,自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,範囲外,許可外フォルダへのアクセス,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。検証ユーザーの許可フォルダと その隣の許可外フォルダがあること,許可された範囲の外はアクセスできないことを確認する,"①検証ユーザーでログイン
②パス入力欄に 許可外のフォルダのパスを入力して移動を試みる",アクセスできず エラー(403)または空になる,○,,,自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,ルート許可,/許可で配下すべて操作,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。検証ユーザーに 共有全体(/)への『フルアクセス』を付与しておくこと,共有全体を許可すると配下のどこでも操作できることを確認する,"①その検証ユーザーでログイン
②共有内の任意のフォルダで 読取/書込/削除/改名を試す",共有内のどこでも全操作ができる,○,,,自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,複数権限,より広い権限が該当範囲に効く,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。検証ユーザーへ 同じ共有の /dept-A に『読取のみ』 と /dept-A/special に『フルアクセス』を設定。実フォルダ /dept-A と /dept-A/special があること,複数の権限があるとき 場所ごとに正しい(より広い)権限が効くことを確認する,"①その検証ユーザーでログイン
②/dept-A/special でアップロード(書込)を試す
③/dept-A 直下(special 以外)でアップロードを試す",/dept-A/special では書込でき /dept-A 直下では書込が拒否される,○,,,自動テストでも担保 PermissionServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,サブパス権限,分離,他ユーザーの権限が見えない,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。許可場所の異なる検証ユーザーが2人いること,ログインした本人の許可場所だけが見え 他人の許可場所は出ないことを確認する,"①ユーザー1でログインし リモートの場所(ロケーション)一覧を見る
②ログアウトしユーザー2でログインし 同様に見る",それぞれ 自分に許可された場所だけが表示される,○,,,自動テストでも担保 PermissionServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,トラバーサル防御,脱出試行,../で許可外へ抜ける試み,異常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,../ を使って許可範囲の外へ抜け出そうとしても弾かれることを確認する(セキュリティ),"①検証ユーザーでログイン
②パス入力欄に 許可フォルダから上に抜けるパス(例: /許可フォルダ/../../)を入力して移動を試みる",範囲外として拒否される(脱出できない),○,,,自動テストでも担保 PermissionServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,トラバーサル防御,正規化,余分な区切りを含むパス,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,余分な ./ や // を含むパスでも 正しく解釈されて目的のフォルダに移動できることを確認する,"①パス入力欄に 余分な区切りを含むパス(例: /許可フォルダ/./サブ)を入力
②Enter で移動",正規化されて 目的のフォルダへ正しく移動する,○,,,自動テストでも担保 PathHelperTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),権限・認可,包含判定,境界,似た名前の隣フォルダは範囲外,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。/dept-A への権限を付与し 実フォルダ /dept-A と /dept-AB(隣)があること,/dept-A の権限が 名前が似た隣の /dept-AB には及ばないことを確認する(前方一致の誤検知防止),"①/dept-A だけ許可された検証ユーザーでログイン
②パス入力欄に /dept-AB を入力して移動を試みる",/dept-AB へはアクセスできない(別フォルダとして拒否),○,,,自動テストでも担保 PathHelperTests
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),権限・認可,メモ化,性能,1リクエスト内の権限確認集約,正常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施 もしくは開発担当による計測環境,同じリクエストで何度権限を確認しても DB 問い合わせが1回に抑えられていることを確認する(性能),①開発担当に依頼し ファイル操作1回あたりの権限チェックの DB クエリ回数をログ/プロファイラで確認,同一リクエスト内では権限確認の DB アクセスが1回に集約されている,,,,実機/性能
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),監査ログ,CSVエクスポート,文字コード,BOM付きUTF-8でExcel,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。操作ログが何件か記録されていること,操作ログを CSV 出力し Excel で文字化けせず開けることを確認する,"①管理>操作ログ タブを開く
②「CSV エクスポート」を実行し保存
③保存した CSV を Excel で開く",日本語が文字化けせず Location/HostName/ShareName 列が表示される,,,,実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),監査ログ,記録,ファイル操作,操作が記録される,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。事前に何かファイル操作をしておくこと,ファイルの読み書き等が操作ログに残ることを確認する,"①一般ユーザーでファイルのアップロードや一覧表示を行う
②管理>操作ログ タブを開いて最新行を見る",実行した操作が ユーザー/場所/結果/日時付きで記録されている,○,,,詳細項目は自動テストでも担保 AuditLogServiceTests
